STAT_CODE,STAT_NAME,CYCLE,FULL_PATH
501Y013,현금흐름표(2012~),A,기업경영분석 > 현금흐름표(연) > 현금흐름표 > 현금흐름표(2012~)
501Y079,현금흐름표(2008~2011),A,기업경영분석 > 현금흐름표(연) > 현금흐름표 > 현금흐름표(2008~2011)
501Y080,현금흐름표(1995~2007),A,기업경영분석 > 현금흐름표(연) > 현금흐름표 > 현금흐름표(1995~2007)
501Y014,현금흐름관련 기타 주요 재무항목(2012~),A,기업경영분석 > 현금흐름표(연) > 현금흐름관련 기타 주요 재무항목 > 현금흐름관련 기타 주요 재무항목(2012~)
501Y081,현금흐름관련 기타 주요 재무항목(2008~2011),A,기업경영분석 > 현금흐름표(연) > 현금흐름관련 기타 주요 재무항목 > 현금흐름관련 기타 주요 재무항목(2008~2011)
501Y082,현금흐름관련 기타 주요 재무항목(1995~2007),A,기업경영분석 > 현금흐름표(연) > 현금흐름관련 기타 주요 재무항목 > 현금흐름관련 기타 주요 재무항목(1995~2007)
501Y015,현금흐름비율(2012~),A,기업경영분석 > 현금흐름표(연) > 현금흐름비율 > 현금흐름비율(2012~)
501Y083,현금흐름비율(2008~2011),A,기업경영분석 > 현금흐름표(연) > 현금흐름비율 > 현금흐름비율(2008~2011)
501Y084,현금흐름비율(1995~2007),A,기업경영분석 > 현금흐름표(연) > 현금흐름비율 > 현금흐름비율(1995~2007)
503Y005,성장성 지표,A,기업경영분석 > 지역별 기업경영분석 > 기업경영분석(11차한국표준산업분류) > 성장성 지표
503Y006,손익 지표,A,기업경영분석 > 지역별 기업경영분석 > 기업경영분석(11차한국표준산업분류) > 손익 지표
503Y007,자산/자본 지표,A,기업경영분석 > 지역별 기업경영분석 > 기업경영분석(11차한국표준산업분류) > 자산/자본 지표
503Y008,자산/자본 회전율,A,기업경영분석 > 지역별 기업경영분석 > 기업경영분석(11차한국표준산업분류) > 자산/자본 회전율
503Y009,생산성 지표,A,기업경영분석 > 지역별 기업경영분석 > 기업경영분석(11차한국표준산업분류) > 생산성 지표
503Y001,재무상태표,A,기업경영분석 > 지역별 기업경영분석 > 기업경영분석(11차한국표준산업분류) > 재무상태표
503Y002,손익계산서,A,기업경영분석 > 지역별 기업경영분석 > 기업경영분석(11차한국표준산업분류) > 손익계산서
503Y003,제조원가명세서,A,기업경영분석 > 지역별 기업경영분석 > 기업경영분석(11차한국표준산업분류) > 제조원가명세서
503Y004,이익잉여금 처분계산서,A,기업경영분석 > 지역별 기업경영분석 > 기업경영분석(11차한국표준산업분류) > 이익잉여금 처분계산서
503Y010,부가가치 구성,A,기업경영분석 > 지역별 기업경영분석 > 기업경영분석(11차한국표준산업분류) > 부가가치 구성
512Y013,기업경기조사(실적),M,심리지수 > 기업경기조사 > 기업경기조사 > 기업경기조사(실적)
512Y014,기업경기조사(전망),M,심리지수 > 기업경기조사 > 기업경기조사 > 기업경기조사(전망)
512Y015,기업경기조사(매출액가중 실적),M,심리지수 > 기업경기조사 > 기업경기조사 > 기업경기조사(매출액가중 실적)
512Y016,기업경기조사(매출액가중 전망),M,심리지수 > 기업경기조사 > 기업경기조사 > 기업경기조사(매출액가중 전망)
512Y017,기업경기조사((구)실적(~2012.6)),M,심리지수 > 기업경기조사 > 기업경기조사 > 기업경기조사((구)실적(~2012.6))
512Y018,기업경기조사((구)전망(~2012.7)),M,심리지수 > 기업경기조사 > 기업경기조사 > 기업경기조사((구)전망(~2012.7))
512Y007,"업종별 기업경기실사지수, 2009.8~(실적)",M,"심리지수 > 기업경기조사 > 업종별 기업경기조사, 2009.8~ > 업종별 기업경기실사지수, 2009.8~(실적)"
512Y008,"업종별 기업경기실사지수, 2009.9~(전망)",M,"심리지수 > 기업경기조사 > 업종별 기업경기조사, 2009.8~ > 업종별 기업경기실사지수, 2009.9~(전망)"
512Y001,"업종별 기업경기실사지수, ~2009.7(실적)",M,"심리지수 > 기업경기조사 > 업종별 기업경기조사, ~2009.8 > 업종별 기업경기실사지수, ~2009.7(실적)"
512Y002,"업종별 기업경기실사지수, ~2009.8(전망)",M,"심리지수 > 기업경기조사 > 업종별 기업경기조사, ~2009.8 > 업종별 기업경기실사지수, ~2009.8(전망)"
512Y021,경영애로사항,M,심리지수 > 기업경기조사 > 경영애로사항
512Y019,지역별 기업경기조사(실적(2013.1~)),M,심리지수 > 기업경기조사 > 지역별 기업경기조사 > 지역별 기업경기조사(실적(2013.1~))
512Y020,지역별 기업경기조사(전망(2013.2~)),M,심리지수 > 기업경기조사 > 지역별 기업경기조사 > 지역별 기업경기조사(전망(2013.2~))
512Y011,지역별 기업경기조사(실적(~2012.12)),M,심리지수 > 기업경기조사 > 지역별 기업경기조사 > 지역별 기업경기조사(실적(~2012.12))
512Y012,지역별 기업경기조사(전망(~2013.1)),M,심리지수 > 기업경기조사 > 지역별 기업경기조사 > 지역별 기업경기조사(전망(~2013.1))
